t/Ri ,a/c ,a/t ,"A0, G0","A0, G1","A1, G0","A1, G1","A2, G0","A2, G1","A3, G0","A3, G1","A4, G0","A4, G1","A5, G0","A5, G1","A6, G0","A6, G1"
0.05,0.25,0.2,0.63362,0.0857951,-0.2241448,0.1479275,6.0145553,2.2281138,-15.177593,-3.076407,19.245817,2.3359025,-12.833947,-1.4641332,3.4982967,0.4360045
0.05,0.25,0.4,0.721014,0.11592,0.207974,0.279727,3.869537,1.800683,-7.21489,-1.52624,5.158906,-0.09691,-1.05611,0.24722,-0.28467,-0.02594
0.05,0.25,0.6,0.920334,0.172931,-0.01467,0.270071,5.670948,1.996927,-9.97312,-1.27259,6.656886,-1.22869,-1.03939,1.379356,-0.47921,-0.40544
0.05,0.25,0.8,1.215354,0.255827,-0.47444,0.197837,9.091116,2.451139,-15.7619,-0.79094,10.34502,-4.10588,-2.24315,4.54707,-0.07605,-1.50644
0.05,0.5,0,0.8776607,0.1277541,-0.6729719,0.4368502,3.7721411,0.4904522,-6.520906,1.0427434,6.3377934,-2.9631236,-3.7028038,2.0826525,0.9872447,-0.5184313
0.05,0.5,0.2,0.8960862,0.1473772,-0.8110788,0.2208319,4.9563363,1.8261603,-10.433624,-3.1801479,12.562793,3.6631029,-8.5356654,-3.039557,2.4644908,1.0501901
0.05,0.5,0.4,1.009783,0.179973,-0.68749,0.305386,3.233014,1.290909,-2.55441,-0.74593,-2.59694,-1.10074,4.790589,1.210498,-1.96126,-0.38613
0.05,0.5,0.6,1.20689,0.239439,-1.01281,0.189505,3.959639,1.583211,-2.33132,-1.05181,-5.6495,-0.99375,8.631388,1.257408,-3.43621,-0.42256
0.05,0.5,0.8,1.457562,0.311033,-1.34927,0.084983,4.983173,1.90842,-4.98815,-1.77542,-1.40618,0.021232,4.664817,0.46531,-1.89079,-0.16253
0.05,1,0,1.1977992,0.1870117,-0.524487,0.6987352,0.1498299,0.13169,2.3284866,0.7269255,-5.1058499,-2.5259384,4.3469049,2.1756251,-1.348798,-0.6540458
