t/Ri,a/c,a/t ,"A0, G0","A0, G1","A0, G5","A0, G6","A1, G0","A1, G1","A1, G5","A1, G6","A2, G0","A2, G1","A2, G5","A2, G6","A3, G0","A3, G1","A3, G5","A3, G6","A4, G0","A4, G1","A4, G5","A4, G6","A5, G0","A5, G1","A5, G5","A5, G6","A6, G0","A6, G1","A6, G5","A6, G6"
0.01,1,0.2,1.2067321,0.2148016,1.2015675,0.001667,-1.7033309,0.0103054,-1.77501,-0.051088,8.478839,4.4729009,9.0214999,0.239228,-64.873032,0,0,0,38.683559,19.861499,41.941806,-0.494062,-29.87344,-15.242926,-32.712927,1.108458,8.9989111,4.5969364,9.9697884,-0.545699
0.01,1,0.4,1.306466,0.223571,1.25174,-0.0695,-1.01524,0.533887,-0.7808,0.637721,1.935088,0.826362,1.323502,-3.15103,-0.89937,-0.74393,-1.02105,7.39227,-2.4736,-1.01252,0.322496,-8.62705,3.782566,1.532888,-0.13023,4.728264,-1.54721,-0.60195,0.1,-0.91067
0.01,1,0.6,1.409899,0.253076,1.346548,-0.0726,-1.19432,0.49795,-0.83071,0.636223,2.068271,0.771147,0.617953,-3.10157,-0.98929,-0.53734,1.669592,7.305602,-16.24959,0,0,0,3.401071,1.56538,3.441861,4.91644,-3.95815,0,0,0
0.01,1,0.8,1.52568,0.281529,1.450513,-0.06154,-1.34151,0.457598,-0.94551,0.271286,1.783455,0.788296,0.418833,-0.73987,-0.09647,-0.66084,2.244786,0.960395,-8.48448,0,0,0,3.341272,0.95756,3.013954,-0.23629,-1.14256,-0.34201,-0.6,0.178366
0.01,2,0,0.8150546,0.1359146,0.8069852,0,-0.5623828,0.070234,-0.5568149,0,1.4465771,3.5558581,1.4322545,0,-4.6778133,-11.034445,-4.631498,0,8.4192164,16.967724,8.3358574,0,-7.9025932,-14.126991,-7.8243495,0,2.9866351,4.8706612,2.9570644,0
0.01,2,0.2,0.8302318,0.135926,0.848032,-0.008097,-1.053792,0.042092,-1.4983161,0.134805,4.4849604,3.4125294,7.5823511,-0.714066,-13.681535,-10.351846,-23.990117,1.315372,22.101428,15.495515,39.865852,-0.38967,-65.22196,0,0,0,6.0608442,4.2082167,11.205087,0.654223
0.01,2,0.4,0.831952,0.1383584,0.8560852,-0.00875,-0.28822,0.0278547,-1.5581979,0.002442,-0.90105,3.4704568,7.9297434,0.026539,3.744401,-10.542062,-25.174918,-0.076,-6.60208,15.886092,42.077867,0.050663,5.151208,-12.940522,-35.552139,0.027683,-1.4147,4.3759927,11.971236,-0.02259
0.01,2,0.6,0.858758,0.1446303,0.8805204,-0.01195,-0.33745,0.0649644,-1.4629959,0.013059,-0.89216,3.173627,6.9298534,-0.01894,3.909414,-9.6071448,-21.71929,-0.01247,-7.01789,14.265975,35.917812,0.079361,5.563858,-11.457141,-29.984188,-0.07966,-1.55957,3.829503,9.9790906,0.030596
0.01,2,0.8,0.912397,0.1527108,0.9095908,-0.00132,-0.9512,0.0144266,-1.5365253,-0.11537,2.828457,3.5158698,7.075405,0.580461,-41.26536,0,0,0,11.69317,15.998316,35.660007,0.02388,-9.61653,-12.610069,-29.052725,1.263052,3.309402,4.0831981,9.3994559,-0.78743
0.01667,0.03125,0,0.1965046,0.005178,0.1932836,0,2.9373464,0.175028,2.8891928,0,-5.2582823,2.771868,-5.1720807,0,7.4889153,-4.6457154,7.3661459,0,-6.9282667,4.6780502,-6.8146889,0,3.3673349,-3.276809,3.3121328,0,-0.6677966,0.9840994,-0.6568495,0
